"TIME","Country","Interest_Rate","Cluster"
2000-03-01,"Estonia",5.27,1
2000-03-01,"Indonesia",12.4,3
2000-03-01,"Israel",8.999524,1
2000-03-01,"South Africa",9.845385,3
2000-03-01,"Colombia",10.9,3
2000-03-01,"Latvia",5.38,1
2000-03-01,"Euro area",3.747,4
2000-03-01,"Lithuania",8.096956,1
2000-03-01,"Romania",64.30608,3
2000-04-01,"Australia",6.04,1
2000-04-01,"Austria",3.9253,4
2000-04-01,"Belgium",3.9253,4
2000-04-01,"Canada",5.516316,4
2000-04-01,"Czechia",5.327895,4
2000-04-01,"Denmark",4.3245,4
2000-04-01,"Finland",3.9253,4
2000-04-01,"France",3.9253,4
2000-04-01,"Germany",3.9253,4
2000-04-01,"Greece",8.685264,4
2000-04-01,"Iceland",10.776,3
2000-04-01,"Ireland",3.9253,4
2000-04-01,"Italy",3.9253,4
2000-04-01,"Korea",7.06,1
2000-04-01,"Luxembourg",3.9253,4
2000-04-01,"Mexico",15.1,3
2000-04-01,"Netherlands",3.9253,4
2000-04-01,"New Zealand",6.49,1
2000-04-01,"Norway",6.23,1
2000-04-01,"Poland",18.52,3
2000-04-01,"Portugal",3.9253,4
2000-04-01,"Slovak Republic",8.12,1
2000-04-01,"Spain",3.9253,4
2000-04-01,"Sweden",3.99,4
2000-04-01,"Switzerland",3.130314,4
2000-04-01,"United Kingdom",6.29647,1
2000-04-01,"United States",6.28,4
2000-04-01,"China",2.6423,2
2000-04-01,"Estonia",5.33,1
2000-04-01,"Indonesia",12.16,3
2000-04-01,"Israel",9.105882,1
2000-04-01,"South Africa",9.882273,3
2000-04-01,"Colombia",11.41,3
2000-04-01,"Latvia",5.25,1
2000-04-01,"Euro area",3.9253,4
2000-04-01,"Lithuania",7.569474,1
2000-04-01,"Romania",52.439,3
2000-05-01,"Australia",6.31,1
2000-05-01,"Austria",4.362,4
2000-05-01,"Belgium",4.362,4
2000-05-01,"Canada",5.861818,4
2000-05-01,"Czechia",5.322857,4
2000-05-01,"Denmark",4.701304,4
2000-05-01,"Finland",4.362,4
2000-05-01,"France",4.362,4
2000-05-01,"Germany",4.362,4
2000-05-01,"Greece",8.499091,4
2000-05-01,"Iceland",10.961,3
2000-05-01,"Ireland",4.362,4
2000-05-01,"Italy",4.362,4
2000-05-01,"Korea",7.14,1
2000-05-01,"Luxembourg",4.362,4
2000-05-01,"Mexico",16.77,3
2000-05-01,"Netherlands",4.362,4
2000-05-01,"New Zealand",6.77,1
2000-05-01,"Norway",6.5,1
2000-05-01,"Poland",18.42,3
2000-05-01,"Portugal",4.362,4
2000-05-01,"Slovak Republic",8.4,1
2000-05-01,"Spain",4.362,4
2000-05-01,"Sweden",3.96,4
2000-05-01,"Switzerland",3.0315,4
2000-05-01,"United Kingdom",6.30356,1
2000-05-01,"United States",6.71,4
2000-05-01,"China",2.5682,2
2000-05-01,"Estonia",5.48,1
2000-05-01,"Indonesia",11.81,3
2000-05-01,"Israel",9.294286,1
2000-05-01,"South Africa",10.22308,3
2000-05-01,"Colombia",11.72,3
2000-05-01,"Latvia",4.97,1
2000-05-01,"Euro area",4.362,4
2000-05-01,"Lithuania",8.381739,1
2000-05-01,"Romania",49.33863,3
2000-06-01,"Australia",6.23,1
2000-06-01,"Austria",4.5017,4
2000-06-01,"Belgium",4.5017,4
2000-06-01,"Canada",5.917273,4
2000-06-01,"Czechia",5.327273,4
2000-06-01,"Denmark",5.141136,4
2000-06-01,"Finland",4.5017,4
2000-06-01,"France",4.5017,4
2000-06-01,"Germany",4.5017,4
2000-06-01,"Greece",8.412857,4
2000-06-01,"Iceland",11.24,3
2000-06-01,"Ireland",4.5017,4
2000-06-01,"Italy",4.5017,4
2000-06-01,"Korea",7.17,1
2000-06-01,"Luxembourg",4.5017,4
2000-06-01,"Mexico",17.73,3
2000-06-01,"Netherlands",4.5017,4
2000-06-01,"New Zealand",6.88,1
2000-06-01,"Norway",6.72,1
2000-06-01,"Poland",18.6,3
2000-06-01,"Portugal",4.5017,4
2000-06-01,"Slovak Republic",7.98,1
2000-06-01,"Spain",4.5017,4
2000-06-01,"Sweden",3.94,4
2000-06-01,"Switzerland",3.282,4
2000-06-01,"United Kingdom",6.22682,1
2000-06-01,"United States",6.73,4
2000-06-01,"China",2.4485,2
2000-06-01,"Estonia",5.68,1
2000-06-01,"Indonesia",11.69,3
2000-06-01,"Israel",9.145294,1
2000-06-01,"South Africa",10.2832,3
2000-06-01,"Colombia",12,3
2000-06-01,"Latvia",4.94,1
2000-06-01,"Euro area",4.5017,4
2000-06-01,"Lithuania",8.427273,1
2000-06-01,"Romania",47.41045,3
2000-07-01,"Australia",6.2,1
2000-07-01,"Austria",4.5829,4
2000-07-01,"Belgium",4.5829,4
2000-07-01,"Canada",5.8785,4
2000-07-01,"Czechia",5.348948,4
2000-07-01,"Denmark",5.775476,4
2000-07-01,"Finland",4.5829,4
2000-07-01,"France",4.5829,4
2000-07-01,"Germany",4.5829,4
2000-07-01,"Greece",8.16381,4
2000-07-01,"Iceland",11.744,3
2000-07-01,"Ireland",4.5829,4
2000-07-01,"Italy",4.5829,4
2000-07-01,"Korea",7.15,1
2000-07-01,"Luxembourg",4.5829,4
2000-07-01,"Mexico",15.4,3
2000-07-01,"Netherlands",4.5829,4
2000-07-01,"New Zealand",6.83,1
2000-07-01,"Norway",6.91,1
2000-07-01,"Poland",18.54,3
2000-07-01,"Portugal",4.5829,4
2000-07-01,"Slovak Republic",7.62,1
2000-07-01,"Spain",4.5829,4
2000-07-01,"Sweden",4.03,4
2000-07-01,"Switzerland",3.286667,4
2000-07-01,"United Kingdom",6.19247,1
2000-07-01,"United States",6.67,4
2000-07-01,"China",2.5058,2
2000-07-01,"Estonia",5.77,1
2000-07-01,"Indonesia",11.79,3
2000-07-01,"Israel",9.049091,1
2000-07-01,"South Africa",10.23385,3
2000-07-01,"Colombia",12.2,3
2000-07-01,"Latvia",5.4,1
2000-07-01,"Euro area",4.5829,4
2000-07-01,"Lithuania",8.5965,1
2000-07-01,"Romania",44.28238,3
2000-08-01,"Australia",6.49,1
2000-08-01,"Austria",4.7771,4
2000-08-01,"Belgium",4.7771,4
2000-08-01,"Canada",5.892727,4
2000-08-01,"Czechia",5.337391,4
2000-08-01,"Denmark",5.6575,4
2000-08-01,"Finland",4.7771,4
2000-08-01,"France",4.7771,4
2000-08-01,"Germany",4.7771,4
2000-08-01,"Greece",8.060909,4
2000-08-01,"Iceland",11.842,3
2000-08-01,"Ireland",4.7771,4
2000-08-01,"Italy",4.7771,4
2000-08-01,"Korea",7.04,1
2000-08-01,"Luxembourg",4.7771,4
2000-08-01,"Mexico",16.84,3
2000-08-01,"Netherlands",4.7771,4
2000-08-01,"New Zealand",6.74,1
2000-08-01,"Norway",7.12,1
2000-08-01,"Poland",19.63,3
2000-08-01,"Portugal",4.7771,4
2000-08-01,"Slovak Republic",7.59,1
2000-08-01,"Spain",4.7771,4
2000-08-01,"Sweden",4,4
2000-08-01,"Switzerland",3.344091,4
2000-08-01,"United Kingdom",6.21754,1
2000-08-01,"United States",6.61,4
2000-08-01,"China",2.4385,2
2000-08-01,"Estonia",5.82,1
2000-08-01,"Indonesia",12.36,3
2000-08-01,"Israel",9.098182,1
2000-08-01,"South Africa",10.14923,3
2000-08-01,"Colombia",12.48,3
2000-08-01,"Latvia",5.57,1
2000-08-01,"Euro area",4.7771,4
2000-08-01,"Lithuania",7.361363,1
2000-08-01,"Romania",43.34478,3
2000-09-01,"Australia",6.57,1
2000-09-01,"Austria",4.8528,4
2000-09-01,"Belgium",4.8528,4
2000-09-01,"Canada",5.8515,4
2000-09-01,"Czechia",5.342,4
2000-09-01,"Denmark",6.097857,4
2000-09-01,"Finland",4.8528,4
2000-09-01,"France",4.8528,4
2000-09-01,"Germany",4.8528,4
2000-09-01,"Greece",7.565238,4
2000-09-01,"Iceland",11.276,3
2000-09-01,"Ireland",4.8528,4
2000-09-01,"Italy",4.8528,4
2000-09-01,"Korea",7.05,1
2000-09-01,"Luxembourg",4.8528,4
2000-09-01,"Mexico",17.13,3
2000-09-01,"Netherlands",4.8528,4
2000-09-01,"New Zealand",6.66,1
2000-09-01,"Norway",7.33,1
2000-09-01,"Poland",19.51,3
2000-09-01,"Portugal",4.8528,4
2000-09-01,"Slovak Republic",7.55,1
2000-09-01,"Spain",4.8528,4
2000-09-01,"Sweden",3.94,4
2000-09-01,"Switzerland",3.3675,4
2000-09-01,"United Kingdom",6.20569,1
2000-09-01,"United States",6.6,4
2000-09-01,"China",2.4197,2
2000-09-01,"Estonia",6.05,1
2000-09-01,"Indonesia",12.84,3
2000-09-01,"Israel",8.937647,1
2000-09-01,"South Africa",10.1608,3
2000-09-01,"Colombia",12.94,3
2000-09-01,"Latvia",5.18,1
2000-09-01,"Euro area",4.8528,4
2000-09-01,"Lithuania",7.111905,1
2000-09-01,"Romania",48.19286,3
2000-10-01,"Australia",6.41,1
2000-10-01,"Austria",5.0413,4
2000-10-01,"Belgium",5.0413,4
2000-10-01,"Canada",5.844762,4
2000-10-01,"Czechia",5.387727,4
2000-10-01,"Denmark",5.552955,4
2000-10-01,"Finland",5.0413,4
2000-10-01,"France",5.0413,4
2000-10-01,"Germany",5.0413,4
2000-10-01,"Greece",7.025,4
2000-10-01,"Iceland",11.288,3
2000-10-01,"Ireland",5.0413,4
2000-10-01,"Italy",5.0413,4
2000-10-01,"Korea",7.04,1
2000-10-01,"Luxembourg",5.0413,4
2000-10-01,"Mexico",17.99,3
2000-10-01,"Netherlands",5.0413,4
2000-10-01,"New Zealand",6.65,1
2000-10-01,"Norway",7.52,1
2000-10-01,"Poland",19.82,3
2000-10-01,"Portugal",5.0413,4
2000-10-01,"Slovak Republic",7.53,1
2000-10-01,"Spain",5.0413,4
2000-10-01,"Sweden",3.99,4
2000-10-01,"Switzerland",3.355,4
2000-10-01,"United Kingdom",6.16274,1
2000-10-01,"United States",6.67,4
2000-10-01,"China",2.4964,2
2000-10-01,"Estonia",6.09,1
2000-10-01,"Indonesia",13.09,3
2000-10-01,"Israel",8.7105,1
2000-10-01,"South Africa",10.18846,3
2000-10-01,"Colombia",12.95,3
2000-10-01,"Latvia",5.39,1
2000-10-01,"Euro area",5.0413,4
2000-10-01,"Lithuania",7.262273,1
2000-10-01,"Romania",51.71273,3
2000-11-01,"Australia",6.33,1
2000-11-01,"Austria",5.092,4
2000-11-01,"Belgium",5.092,4
2000-11-01,"Canada",5.876667,4
2000-11-01,"Czechia",5.409524,4
2000-11-01,"Denmark",5.496136,4
2000-11-01,"Finland",5.092,4
2000-11-01,"France",5.092,4
2000-11-01,"Germany",5.092,4
2000-11-01,"Greece",6.246364,4
2000-11-01,"Iceland",11.783,3
2000-11-01,"Ireland",5.092,4
2000-11-01,"Italy",5.092,4
2000-11-01,"Korea",6.99,1
2000-11-01,"Luxembourg",5.092,4
2000-11-01,"Mexico",18.76,3
2000-11-01,"Netherlands",5.092,4
2000-11-01,"New Zealand",6.64,1
2000-11-01,"Norway",7.43,1
2000-11-01,"Poland",19.78,3
2000-11-01,"Portugal",5.092,4
2000-11-01,"Slovak Republic",7.59,1
2000-11-01,"Spain",5.092,4
2000-11-01,"Sweden",4,4
2000-11-01,"Switzerland",3.292282,4
2000-11-01,"United Kingdom",6.08629,1
2000-11-01,"United States",6.65,4
2000-11-01,"China",2.3392,2
2000-11-01,"Estonia",6.18,1
2000-11-01,"Indonesia",13.17,3
2000-11-01,"Israel",8.423636,1
2000-11-01,"South Africa",10.21769,3
2000-11-01,"Colombia",13.08,3
2000-11-01,"Latvia",5.47,1
2000-11-01,"Euro area",5.092,4
2000-11-01,"Lithuania",7.57381,1
2000-11-01,"Romania",53.06273,3
2000-12-01,"Australia",6.2,1
2000-12-01,"Austria",4.9392,4
2000-12-01,"Belgium",4.9392,4
2000-12-01,"Canada",5.763684,4
2000-12-01,"Czechia",5.419474,4
2000-12-01,"Denmark",5.385119,4
2000-12-01,"Finland",4.9392,4
2000-12-01,"France",4.9392,4
2000-12-01,"Germany",4.9392,4
2000-12-01,"Greece",5.213895,4
2000-12-01,"Iceland",11.956,3
2000-12-01,"Ireland",4.9392,4
2000-12-01,"Italy",4.9392,4
2000-12-01,"Korea",6.89,1
2000-12-01,"Luxembourg",4.9392,4
2000-12-01,"Mexico",18.39,3
2000-12-01,"Netherlands",4.9392,4
2000-12-01,"New Zealand",6.71,1
2000-12-01,"Norway",7.42,1
2000-12-01,"Poland",19.45,3
2000-12-01,"Portugal",4.9392,4
2000-12-01,"Slovak Republic",7.61,1
2000-12-01,"Spain",4.9392,4
2000-12-01,"Sweden",4.07,4
2000-12-01,"Switzerland",3.250556,4
2000-12-01,"United Kingdom",5.95539,1
2000-12-01,"United States",6.45,4
2000-12-01,"China",3.2674,2
2000-12-01,"Estonia",6.14,1
2000-12-01,"Indonesia",13.24,3
2000-12-01,"Israel",8.07619,1
2000-12-01,"South Africa",10.20227,3
2000-12-01,"Colombia",13.28,3
2000-12-01,"Latvia",5.44,1
2000-12-01,"Euro area",4.9392,4
2000-12-01,"Lithuania",8.012105,1
2000-12-01,"Romania",52.60833,3
2001-01-01,"Australia",5.91,1
2001-01-01,"Austria",4.7707,4
2001-01-01,"Belgium",4.7707,4
2001-01-01,"Canada",5.456364,4
2001-01-01,"Czechia",5.344545,4
2001-01-01,"Denmark",5.343544,4
2001-01-01,"Finland",4.7707,4
2001-01-01,"France",4.7707,4
2001-01-01,"Germany",4.7707,4
2001-01-01,"Greece",4.7707,4
2001-01-01,"Iceland",11.693,3
2001-01-01,"Ireland",4.7707,4
2001-01-01,"Italy",4.7707,4
2001-01-01,"Korea",6.43,1
2001-01-01,"Luxembourg",4.7707,4
2001-01-01,"Mexico",18.86,3
2001-01-01,"Netherlands",4.7707,4
2001-01-01,"New Zealand",6.53,1
2001-01-01,"Norway",7.41,1
2001-01-01,"Poland",18.86,3
2001-01-01,"Portugal",4.7707,4
2001-01-01,"Slovak Republic",7.39,1
2001-01-01,"Spain",4.7707,4
2001-01-01,"Sweden",4.07,4
2001-01-01,"Switzerland",3.268333,4
2001-01-01,"United Kingdom",5.84578,1
2001-01-01,"United States",5.62,4
2001-01-01,"China",2.8258,2
2001-01-01,"Estonia",6.08,1
2001-01-01,"Indonesia",13.83,3
2001-01-01,"Israel",7.723913,1
2001-01-01,"South Africa",10.14885,3
2001-01-01,"Colombia",13.5,3
2001-01-01,"Latvia",5.82,1
2001-01-01,"Euro area",4.7707,4
2001-01-01,"Lithuania",8.328182,1
2001-01-01,"Romania",53.09571,3
2001-02-01,"Australia",5.59,1
2001-02-01,"Austria",4.7558,4
2001-02-01,"Belgium",4.7558,4
2001-02-01,"Canada",5.2075,4
2001-02-01,"Czechia",5.265,4
2001-02-01,"Denmark",5.272,4
2001-02-01,"Finland",4.7558,4
2001-02-01,"France",4.7558,4
2001-02-01,"Germany",4.7558,4
2001-02-01,"Greece",4.7558,4
2001-02-01,"Iceland",11.692,3
2001-02-01,"Ireland",4.7558,4
2001-02-01,"Italy",4.7558,4
2001-02-01,"Korea",5.73,1
2001-02-01,"Luxembourg",4.7558,4
2001-02-01,"Mexico",18.36,3
2001-02-01,"Netherlands",4.7558,4
2001-02-01,"New Zealand",6.48,1
2001-02-01,"Norway",7.32,1
2001-02-01,"Poland",18.29,3
2001-02-01,"Portugal",4.7558,4
2001-02-01,"Slovak Republic",7.36,1
2001-02-01,"Spain",4.7558,4
2001-02-01,"Sweden",4.1,4
2001-02-01,"Switzerland",3.335625,4
2001-02-01,"United Kingdom",5.75655,1
2001-02-01,"United States",5.26,4
2001-02-01,"China",2.8275,2
2001-02-01,"Estonia",5.95,1
2001-02-01,"Indonesia",14.35,3
2001-02-01,"Israel",7.23,1
2001-02-01,"South Africa",10.11958,3
2001-02-01,"Colombia",13.34,3
2001-02-01,"Latvia",6.62,1
2001-02-01,"Euro area",4.7558,4
2001-02-01,"Lithuania",7.053684,1
2001-02-01,"Romania",53.1185,3
2001-03-01,"Australia",5.14,1
2001-03-01,"Austria",4.7086,4
2001-03-01,"Belgium",4.7086,4
2001-03-01,"Canada",4.748182,4
2001-03-01,"Czechia",5.048182,4
2001-03-01,"Denmark",5.162159,4
2001-03-01,"Finland",4.7086,4
2001-03-01,"France",4.7086,4
2001-03-01,"Germany",4.7086,4
2001-03-01,"Greece",4.7086,4
2001-03-01,"Iceland",11.743,3
2001-03-01,"Ireland",4.7086,4
2001-03-01,"Italy",4.7086,4
2001-03-01,"Korea",5.68,1
2001-03-01,"Luxembourg",4.7086,4
2001-03-01,"Mexico",17.22,3
2001-03-01,"Netherlands",4.7086,4
2001-03-01,"New Zealand",6.25,1
2001-03-01,"Norway",7.39,1
2001-03-01,"Poland",17.37,3
2001-03-01,"Portugal",4.7086,4
2001-03-01,"Slovak Republic",7.42,1
2001-03-01,"Spain",4.7086,4
2001-03-01,"Sweden",4.06,4
2001-03-01,"Switzerland",3.177352,4
2001-03-01,"United Kingdom",5.55126,1
2001-03-01,"United States",4.89,4
2001-03-01,"China",2.6494,2
2001-03-01,"Estonia",5.92,1
2001-03-01,"Indonesia",14.86,3
2001-03-01,"Israel",7.115714,1
2001-03-01,"South Africa",10.16654,3
2001-03-01,"Colombia",13.02,3
2001-03-01,"Latvia",6.75,1
2001-03-01,"Euro area",4.7086,4
2001-03-01,"Lithuania",6.590455,1
2001-03-01,"Romania",52.01637,3
2001-04-01,"Australia",4.86,1
2001-04-01,"Austria",4.682,4
2001-04-01,"Belgium",4.682,4
2001-04-01,"Canada",4.6025,4
2001-04-01,"Czechia",5.007,4
2001-04-01,"Denmark",5.112024,4
2001-04-01,"Finland",4.682,4
2001-04-01,"France",4.682,4
2001-04-01,"Germany",4.682,4
2001-04-01,"Greece",4.682,4
2001-04-01,"Iceland",12.241,3
2001-04-01,"Ireland",4.682,4
2001-04-01,"Italy",4.682,4
2001-04-01,"Korea",5.84,1
2001-04-01,"Luxembourg",4.682,4
2001-04-01,"Mexico",16.31,3
2001-04-01,"Netherlands",4.682,4
2001-04-01,"New Zealand",5.97,1
2001-04-01,"Norway",7.48,1
2001-04-01,"Poland",17.15,3
2001-04-01,"Portugal",4.682,4
2001-04-01,"Slovak Republic",7.42,1
2001-04-01,"Spain",4.682,4
2001-04-01,"Sweden",3.94,4
2001-04-01,"Switzerland",3.0477,4
2001-04-01,"United Kingdom",5.40449,1
2001-04-01,"United States",4.53,4
2001-04-01,"China",2.5887,2
2001-04-01,"Estonia",5.77,1
2001-04-01,"Indonesia",14.93,3
2001-04-01,"Israel",6.909474,1
2001-04-01,"South Africa",10.34045,3
2001-04-01,"Colombia",12.74,3
2001-04-01,"Latvia",6.55,1
2001-04-01,"Euro area",4.682,4
2001-04-01,"Lithuania",6.535,1
2001-04-01,"Romania",49.9365,3
2001-05-01,"Australia",4.89,1
2001-05-01,"Austria",4.6367,4
2001-05-01,"Belgium",4.6367,4
2001-05-01,"Canada",4.445909,4
2001-05-01,"Czechia",5.031428,4
2001-05-01,"Denmark",5.10913,4
2001-05-01,"Finland",4.6367,4
2001-05-01,"France",4.6367,4
2001-05-01,"Germany",4.6367,4
2001-05-01,"Greece",4.6367,4
2001-05-01,"Iceland",12.246,3
2001-05-01,"Ireland",4.6367,4
2001-05-01,"Italy",4.6367,4
2001-05-01,"Korea",5.85,1
2001-05-01,"Luxembourg",4.6367,4
2001-05-01,"Mexico",14.22,3
2001-05-01,"Netherlands",4.6367,4
2001-05-01,"New Zealand",5.79,1
2001-05-01,"Norway",7.45,1
2001-05-01,"Poland",17.16,3
2001-05-01,"Portugal",4.6367,4
2001-05-01,"Slovak Republic",7.43,1
2001-05-01,"Spain",4.6367,4
2001-05-01,"Sweden",4.01,4
2001-05-01,"Switzerland",3.109091,4
2001-05-01,"United Kingdom",5.24858,1
2001-05-01,"United States",4.02,4
2001-05-01,"China",2.5457,2
2001-05-01,"Estonia",5.59,1
2001-05-01,"Indonesia",14.92,3
2001-05-01,"Israel",6.770952,1
2001-05-01,"South Africa",10.38154,3
2001-05-01,"Colombia",12.72,3
2001-05-01,"Latvia",6.68,1
2001-05-01,"Euro area",4.6367,4
2001-05-01,"Lithuania",6.315217,1
2001-05-01,"Romania",48.87182,3
2001-06-01,"Australia",4.97,1
2001-06-01,"Austria",4.4536,4
2001-06-01,"Belgium",4.4536,4
2001-06-01,"Canada",4.419524,4
2001-06-01,"Czechia",5.091429,4
2001-06-01,"Denmark",4.964167,4
2001-06-01,"Finland",4.4536,4
2001-06-01,"France",4.4536,4
2001-06-01,"Germany",4.4536,4
2001-06-01,"Greece",4.4536,4
2001-06-01,"Iceland",12.289,3
2001-06-01,"Ireland",4.4536,4
2001-06-01,"Italy",4.4536,4
2001-06-01,"Korea",5.65,1
2001-06-01,"Luxembourg",4.4536,4
2001-06-01,"Mexico",11.9,3
2001-06-01,"Netherlands",4.4536,4
2001-06-01,"New Zealand",5.82,1
2001-06-01,"Norway",7.42,1
2001-06-01,"Poland",16.09,3
2001-06-01,"Portugal",4.4536,4
2001-06-01,"Slovak Republic",7.48,1
2001-06-01,"Spain",4.4536,4
2001-06-01,"Sweden",4.17,4
2001-06-01,"Switzerland",3.110667,4
2001-06-01,"United Kingdom",5.25854,1
2001-06-01,"United States",3.74,4
2001-06-01,"China",2.5516,2
2001-06-01,"Estonia",5.5,1
2001-06-01,"Indonesia",15,3
2001-06-01,"Israel",6.1965,1
2001-06-01,"South Africa",9.9856,3
2001-06-01,"Colombia",12.7,3
2001-06-01,"Latvia",7.45,1
2001-06-01,"Euro area",4.4536,4
2001-06-01,"Lithuania",6.221428,1
2001-06-01,"Romania",44.16524,3
2001-07-01,"Australia",5.04,1
2001-07-01,"Austria",4.4671,4
2001-07-01,"Belgium",4.4671,4
2001-07-01,"Canada",4.304286,4
2001-07-01,"Czechia",5.254,4
2001-07-01,"Denmark",4.932386,4
2001-07-01,"Finland",4.4671,4
2001-07-01,"France",4.4671,4
2001-07-01,"Germany",4.4671,4
2001-07-01,"Greece",4.4671,4
2001-07-01,"Iceland",12.387,3
2001-07-01,"Ireland",4.4671,4
2001-07-01,"Italy",4.4671,4
2001-07-01,"Korea",5.32,1
2001-07-01,"Luxembourg",4.4671,4
2001-07-01,"Mexico",11.6,3
2001-07-01,"Netherlands",4.4671,4
2001-07-01,"New Zealand",5.79,1
2001-07-01,"Norway",7.37,1
2001-07-01,"Poland",15.49,3
2001-07-01,"Portugal",4.4671,4
2001-07-01,"Slovak Republic",7.52,1
2001-07-01,"Spain",4.4671,4
2001-07-01,"Sweden",4.31,4
2001-07-01,"Switzerland",3.085643,4
2001-07-01,"United Kingdom",5.25436,1
2001-07-01,"United States",3.66,4
2001-07-01,"China",2.4958,2
2001-07-01,"Estonia",5.5,1
2001-07-01,"Indonesia",15.14,3
2001-07-01,"Israel",6.214545,1
2001-07-01,"South Africa",9.532308,3
2001-07-01,"Colombia",12.66,3
2001-07-01,"Latvia",7.84,1
2001-07-01,"Euro area",4.4671,4
2001-07-01,"Lithuania",6.129524,1
2001-07-01,"Romania",38.17863,3
2001-08-01,"Australia",4.95,1
2001-08-01,"Austria",4.3535,4
2001-08-01,"Belgium",4.3535,4
2001-08-01,"Canada",4.062727,4
2001-08-01,"Czechia",5.565652,4
2001-08-01,"Denmark",4.807717,4
2001-08-01,"Finland",4.3535,4
2001-08-01,"France",4.3535,4
2001-08-01,"Germany",4.3535,4
2001-08-01,"Greece",4.3535,4
2001-08-01,"Iceland",11.961,3
2001-08-01,"Ireland",4.3535,4
2001-08-01,"Italy",4.3535,4
2001-08-01,"Korea",4.92,1
2001-08-01,"Luxembourg",4.3535,4
2001-08-01,"Mexico",10.22,3
2001-08-01,"Netherlands",4.3535,4
2001-08-01,"New Zealand",5.83,1
2001-08-01,"Norway",7.31,1
2001-08-01,"Poland",15.42,3
2001-08-01,"Portugal",4.3535,4
2001-08-01,"Slovak Republic",7.59,1
2001-08-01,"Spain",4.3535,4
2001-08-01,"Sweden",4.28,4
2001-08-01,"Switzerland",3.037857,4
2001-08-01,"United Kingdom",4.99658,1
2001-08-01,"United States",3.48,4
2001-08-01,"China",2.4372,2
2001-08-01,"Estonia",5.43,1
2001-08-01,"Indonesia",15.62,3
2001-08-01,"Israel",6.366316,1
2001-08-01,"South Africa",9.368077,3
2001-08-01,"Colombia",12.34,3
2001-08-01,"Latvia",7.26,1
2001-08-01,"Euro area",4.3535,4
2001-08-01,"Lithuania",5.454091,1
2001-08-01,"Romania",37.23391,3
2001-09-01,"Australia",4.55,1
2001-09-01,"Austria",3.9829,4
2001-09-01,"Belgium",3.9829,4
2001-09-01,"Canada",3.497895,4
2001-09-01,"Czechia",5.406842,4
2001-09-01,"Denmark",4.433375,4
2001-09-01,"Finland",3.9829,4
2001-09-01,"France",3.9829,4
2001-09-01,"Germany",3.9829,4
2001-09-01,"Greece",3.9829,4
2001-09-01,"Iceland",11.695,3
2001-09-01,"Ireland",3.9829,4
2001-09-01,"Italy",3.9829,4
2001-09-01,"Korea",4.66,1
2001-09-01,"Luxembourg",3.9829,4
2001-09-01,"Mexico",12.19,3
2001-09-01,"Netherlands",3.9829,4
2001-09-01,"New Zealand",5.57,1
2001-09-01,"Norway",7.14,1
2001-09-01,"Poland",14.56,3
2001-09-01,"Portugal",3.9829,4
